listing,price,brand,size
"Eastpak backpack stadium transparent
          
      NWT",157.0,Eastpak,
A NEW DAY Woven Slouchy Boho Style Knotted Shoulder Bag,40.0,A,
COPY - New coach vintage belt/jewelry dust bag,18.0,COPY,
Kate Spade Bag Laurel Way Rose Gold Crossbody,120.0,Kate,
Spartina 449 Rare Retired Print Pink House Wallet,75.0,Spartina,
"Madewell The Continental Zip Wallet in Black - New without Tags
          
      NWT",75.0,Madewell,
Chic Black Clutch with Beaded Handle,90.0,Chic,
Dooney Bourke Small Canvas Signature Logo Shoulder Purse,60.0,Dooney,Small
Kate Spade & Clinique “limited edition” Red&Pink Stripe Tote w/ match pouch NWOT,57.0,Kate,
"Jessica Simpson Taupe Adalee Hobo Bag with Gold Accents
          
      NWT",75.0,Jessica,
🎉  NEW CANDY APPLE COACH CROSSBODY,115.0,🎉,
"Michael Kors DoubleZip Wallet Wristlet
Phone Case
          
      NWT",85.0,Michael,
Louis Vuitton Monogram Utility Crossbody,2750.0,Louis,
Vintage Magid Black Satin Purse Clutch Amber Plastic Closure Formal Cocktail,17.0,Vintage,
Carlos Falchi Floral Patchwork Purple Handbag,250.0,Carlos,
Coach Black and Gold Hang Tag,35.0,Coach,
"Longchamp Le Pliage Mini Pouch Felt Purse Handbag Bag Insert Organizer
          
      NWT",25.0,Longchamp,Mini
Kate Spade Rose Gold Glitter Wristlet,25.0,Kate,
"Avon Large Silver/Black Paisley Makeup Bag
          
      NWT",8.0,Avon,Large
Hands Free Waist Band,13.0,Hands,
"FENDI Peekaboo Mutton Fur + Lamb Leather Blue Powder Sugar + Soft Gold Mini NWT!
          
      NWT",2914.0,FENDI,Mini
Brahmin Croc-Embossed Leather Wallet / Clutch – Brown & Black,40.0,Brahmin,
Rebecca Minkoff Avery Light Blush Pink Crossbody,61.0,Rebecca,
"Zara mini gold shell purse crossbody with chain clutch evening party cocktail
          
      NWT",151.0,Zara,Mini
Michael Kors Sky Blue Hobo Bag with Pebbled Leather,60.0,Michael,
Cole Haan Trinity Beige Leather Wristlet Bag Silver Chain Magnetic Closure,25.0,Cole,
"Vera Bradley Retired Navy Blue Green White Lucky Dots Front Zip Wristlet NWT
          
      NWT",30.0,Vera,
"Hot Pink “Mwah” Glitter Cosmetic Bag Jo & Jo Australia NEW
          
      NWT",13.0,Hot,
Louis Vuitton Red Leather Epi Jasmine Pre Loved,1200.0,Louis,
Naghedi Gold Metallic Woven Crossbody Bag,267.0,Naghedi,
Holiday Sale! New Pink by Victoria’s Secret Light Blue Crossbody bag,30.0,Holiday,
Portobello Everywhere bagg,50.0,Portobello,
Emma Fox Flap Lock Shoulder Bag ❤️,40.0,Emma,
Dr. Marten's Black Satchel Bag Purse,120.0,Dr.,
"Dior Beaute Trotter Tote
          
      NWT",175.0,Dior,
Vera Bradley Vibrant Pink and Orange Quilted Tote Bag,39.0,Vera,
Vintage Coach Black Leather‎ Tote Bag Purse Satchel,185.0,Vintage,
